,Median Selling Prices of Homes in U.S. Cities (n = 163 cities),,,Source: http://www.realtor.org,,,,,,,,"As of April, 2013"
55,"El Paso, TX",TX,Southeast,94.7,111.8,127.6,131.9,137.5,132.6,134.3,134.3,138.6
56,"Erie, PA ",PA,Northeast,98.6,100,101.3,98.1,99.5,97.9,107.7,109.7,114.9
57,"Eugene-Springfield, OR",OR,West,164.9,197.6,230.6,239.6,224.7,203.7,196.3,,
58,"Fargo, ND-MN ",ND-MN,Central,124.2,132.8,136.5,140.9,139.1,140.2,146.4,148.6,153.1
59,"Farmington, NM ",NM,West,134.6,155.1,172.3,191.1,190.6,187.5,178.9,174.4,173.9
60,"Fayetteville, NC",NC,Southeast,,,,,,,152.5,152.3,152
61,"Florence, SC ",SC,Southeast,,,,,117.3,114.5,118.1,114.6,128.3
62,"Ft. Wayne, IN",IN,Central,96.6,102.3,99.7,97.1,92.6,94,97.4,95.4,106.2
63,"Gainesville, FL",FL,Southeast,159,184,213.2,211.1,188.6,167.6,161.6,148.6,145.6
64,"Gary-Hammond, IN",IN,Central,122.6,129.8,128.1,134.2,127.7,119.2,122.9,120.6,126.1
65,"Glens Falls, NY ",NY,Northeast,129.3,153.1,161.6,167.6,161.1,153.5,147.5,156.2,164.4
66,"Grand Rapids, MI",MI,Central,132.9,137.8,134.5,129.4,100.9,87.4,91.5,99.5,112.5
67,"Green Bay, WI",WI,Central,143.3,154.8,151.3,150.7,146.2,136.2,130.4,134.8,134.5
68,"Greensboro-High Point, NC ",NC,Southeast,139.8,147.8,149.4,152,145.3,132.8,129.8,123.8,124.8
69,"Greenville, SC ",SC,Southeast,135.8,145.4,152,153.6,155.7,141.4,145.3,144.5,152
70,"Gulfport-Biloxi, MS",MS,Southeast,113.9,131.4,145.8,154.5,140.2,133.9,125,104.8,101
71,"Hagerstown-Martinsburg, MD-WV ",MD-WV,Northeast,165.9,208.7,223.1,208.5,185.8,157.1,144.4,131.3,134.7
72,"Hartford-West Hartford-East Hartford, CT",CT,Northeast,231.6,253.3,258.1,263.2,246.2,232,235.8,227.6,222.8
73,"Honolulu, HI",HI,West,460,590,630,643.5,624,596.2,607.6,597,628.8
74,"Houston-Baytown-Sugar Land, TX ",TX,Southeast,136,143,149.1,152.5,151.6,153.1,155,155.7,164.8
75,"Huntsville, AL",AL,Southeast,,,,,,,,172.8,173.6
76,"Indianapolis, IN",IN,Central,121.7,123.8,119.3,120.5,111.2,114.2,123.3,123.9,129.6
77,"Jackson, MS ",MS,Southeast,118.1,133.8,147.1,139,128.7,134.9,133.2,135.9,143.7
78,"Jacksonville, FL",FL,Southeast,150.7,175.2,193,189.2,174.6,145.9,137.7,123.6,128.2
